Designator,Mid X,Mid Y,Layer,Rotation
C2,124.5,-101.535,T,270.0
C3,123.45,-101.535,T,270.0
C4,124.5,-98.015,T,90.0
C5,123.5,-98.015,T,270.0
C6,142.05,-118.1,T,90.0
C7,143.1,-118.1,T,270.0
C8,144.8,-115.15,T,180.0
C9,144.8,-116.2,T,0.0
D1,132.75,-123.0,T,0.0
LED1,130.55,-81.6,T,0.0
LED2,134.3,-81.6,T,0.0
LED3,138.0,-81.6,T,0.0
R1,129.4,-123.0,T,180.0
R2,139.95,-118.1,T,90.0
R3,140.95,-118.1,T,270.0
R4,130.115,-82.95,T,0.0
R5,133.85,-82.95,T,0.0
R6,137.55,-82.95,T,0.0
R7,144.8,-114.1,T,180.0
U1,140.2,-113.45,T,360.0
